duracion_promedio_vistas,dia_de_la_semana,vistas,tiempo_reproduccion_horas,suscriptores,impresiones,ctr,category,audiencia_objetivo,color
47,Friday,6961,91.856,30,268415,1.89,Trivia Facts Quiz,General,Blue
132,Thursday,3246,119.6582,13,66361,3.95,Entertainment Quiz,General,Blue
44,Friday,2252,27.7175,12,32280,5.95,Trivia Facts Quiz,Children,Pink
105,Thursday,1516,44.2447,12,32272,3.74,Entertainment Quiz,General,Blue
144,Friday,639,25.6145,1,16064,2.42,Would You Rather,General,Yellow
76,Thursday,559,11.9006,5,11458,4.38,Holidays,General,Purple
109,Wednesday,394,12.038,0,10523,3.05,Would You Rather,General,Purple
79,Thursday,278,6.1208,1,5373,2.61,Would You Rather,Children,Purple
136,Friday,251,9.5292,1,11094,1.66,Would You Rather,General,White
101,Wednesday,235,6.6207,1,4541,3.19,Nature Quiz,Children,Gray
105,Thursday,212,6.2374,2,2707,3.99,Nature Quiz,Children,Blue
89,Thursday,163,4.045,3,6190,1.62,Trivia Facts Quiz,Children,Purple
60,Friday,161,2.6999,1,4549,2.4,Animals Quiz,Children,Blue
58,Wednesday,153,2.5069,2,2043,3.96,Trivia Facts Quiz,Children,Gray
57,Wednesday,145,2.3205,8,777,5.79,Animals Quiz,Children,Blue
52,Thursday,134,1.9721,4,1733,4.39,Trivia Facts Quiz,General,Blue
27,Tuesday,114,0.885,1,1708,4.8,Trivia Facts Quiz,Children,Beige
40,Wednesday,101,1.1407,0,986,6.29,Trivia Facts Quiz,Children,Blue
55,Thursday,100,1.5388,1,2422,2.39,Trivia Facts Quiz,Children,Pink
104,Thursday,88,2.5537,0,3450,1.74,Entertainment Quiz,General,Blue
72,Sunday,72,1.453,0,1184,4.14,Holidays,General,Indigo
