"rules","support","confidence","coverage","lift","count"
"{duracion_cat=media} => {impresiones_cat=largas}",0.257142857142857,1,0.257142857142857,1.52173913043478,9
"{duracion_cat=media} => {suscriptores_promedio_cat=bajas}",0.257142857142857,1,0.257142857142857,1,9
"{suscriptores_cat=muchos} => {impresiones_cat=largas}",0.2,0.777777777777778,0.257142857142857,1.18357487922705,7
"{suscriptores_cat=muchos} => {duracion_cat=corta}",0.2,0.777777777777778,0.257142857142857,1.04700854700855,7
"{suscriptores_cat=muchos} => {suscriptores_promedio_cat=bajas}",0.257142857142857,1,0.257142857142857,1,9
"{impresiones_cat=medias} => {duracion_cat=corta}",0.285714285714286,1,0.285714285714286,1.34615384615385,10
"{impresiones_cat=medias} => {suscriptores_promedio_cat=bajas}",0.285714285714286,1,0.285714285714286,1,10
"{vistas_cat=bajas} => {impresiones_cat=largas}",0.228571428571429,0.727272727272727,0.314285714285714,1.10671936758893,8
"{vistas_cat=bajas} => {duracion_cat=corta}",0.285714285714286,0.909090909090909,0.314285714285714,1.22377622377622,10
"{vistas_cat=bajas} => {suscriptores_promedio_cat=bajas}",0.314285714285714,1,0.314285714285714,1,11
"{suscriptores_cat=pocos} => {impresiones_cat=largas}",0.2,0.7,0.285714285714286,1.06521739130435,7
"{suscriptores_cat=pocos} => {suscriptores_promedio_cat=bajas}",0.285714285714286,1,0.285714285714286,1,10
"{vistas_cat=altas} => {duracion_cat=corta}",0.228571428571429,0.727272727272727,0.314285714285714,0.979020979020979,8
"{vistas_cat=altas} => {suscriptores_promedio_cat=bajas}",0.314285714285714,1,0.314285714285714,1,11
"{vistas_cat=medias} => {impresiones_cat=largas}",0.228571428571429,0.727272727272727,0.314285714285714,1.10671936758893,8
"{vistas_cat=medias} => {suscriptores_promedio_cat=bajas}",0.314285714285714,1,0.314285714285714,1,11
"{impresiones_cat=largas} => {suscriptores_promedio_cat=bajas}",0.657142857142857,1,0.657142857142857,1,23
"{duracion_cat=corta} => {suscriptores_promedio_cat=bajas}",0.742857142857143,1,0.742857142857143,1,26
"{suscriptores_promedio_cat=bajas} => {duracion_cat=corta}",0.742857142857143,0.742857142857143,1,1,26
"{impresiones_cat=largas,duracion_cat=media} => {suscriptores_promedio_cat=bajas}",0.257142857142857,1,0.257142857142857,1,9
"{duracion_cat=media,suscriptores_promedio_cat=bajas} => {impresiones_cat=largas}",0.257142857142857,1,0.257142857142857,1.52173913043478,9
"{impresiones_cat=largas,suscriptores_cat=muchos} => {suscriptores_promedio_cat=bajas}",0.2,1,0.2,1,7
"{suscriptores_cat=muchos,suscriptores_promedio_cat=bajas} => {impresiones_cat=largas}",0.2,0.777777777777778,0.257142857142857,1.18357487922705,7
"{duracion_cat=corta,suscriptores_cat=muchos} => {suscriptores_promedio_cat=bajas}",0.2,1,0.2,1,7
"{suscriptores_cat=muchos,suscriptores_promedio_cat=bajas} => {duracion_cat=corta}",0.2,0.777777777777778,0.257142857142857,1.04700854700855,7
"{impresiones_cat=medias,duracion_cat=corta} => {suscriptores_promedio_cat=bajas}",0.285714285714286,1,0.285714285714286,1,10
"{impresiones_cat=medias,suscriptores_promedio_cat=bajas} => {duracion_cat=corta}",0.285714285714286,1,0.285714285714286,1.34615384615385,10
"{impresiones_cat=largas,vistas_cat=bajas} => {duracion_cat=corta}",0.2,0.875,0.228571428571429,1.17788461538462,7
"{duracion_cat=corta,vistas_cat=bajas} => {impresiones_cat=largas}",0.2,0.7,0.285714285714286,1.06521739130435,7
"{impresiones_cat=largas,vistas_cat=bajas} => {suscriptores_promedio_cat=bajas}",0.228571428571429,1,0.228571428571429,1,8
"{vistas_cat=bajas,suscriptores_promedio_cat=bajas} => {impresiones_cat=largas}",0.228571428571429,0.727272727272727,0.314285714285714,1.10671936758893,8
"{duracion_cat=corta,vistas_cat=bajas} => {suscriptores_promedio_cat=bajas}",0.285714285714286,1,0.285714285714286,1,10
"{vistas_cat=bajas,suscriptores_promedio_cat=bajas} => {duracion_cat=corta}",0.285714285714286,0.909090909090909,0.314285714285714,1.22377622377622,10
"{impresiones_cat=largas,suscriptores_cat=pocos} => {suscriptores_promedio_cat=bajas}",0.2,1,0.2,1,7
"{suscriptores_cat=pocos,suscriptores_promedio_cat=bajas} => {impresiones_cat=largas}",0.2,0.7,0.285714285714286,1.06521739130435,7
"{duracion_cat=corta,vistas_cat=altas} => {suscriptores_promedio_cat=bajas}",0.228571428571429,1,0.228571428571429,1,8
"{vistas_cat=altas,suscriptores_promedio_cat=bajas} => {duracion_cat=corta}",0.228571428571429,0.727272727272727,0.314285714285714,0.979020979020979,8
"{impresiones_cat=largas,vistas_cat=medias} => {suscriptores_promedio_cat=bajas}",0.228571428571429,1,0.228571428571429,1,8
"{vistas_cat=medias,suscriptores_promedio_cat=bajas} => {impresiones_cat=largas}",0.228571428571429,0.727272727272727,0.314285714285714,1.10671936758893,8
"{impresiones_cat=largas,duracion_cat=corta} => {suscriptores_promedio_cat=bajas}",0.4,1,0.4,1,14
"{impresiones_cat=largas,duracion_cat=corta,vistas_cat=bajas} => {suscriptores_promedio_cat=bajas}",0.2,1,0.2,1,7
"{impresiones_cat=largas,vistas_cat=bajas,suscriptores_promedio_cat=bajas} => {duracion_cat=corta}",0.2,0.875,0.228571428571429,1.17788461538462,7
"{duracion_cat=corta,vistas_cat=bajas,suscriptores_promedio_cat=bajas} => {impresiones_cat=largas}",0.2,0.7,0.285714285714286,1.06521739130435,7
