duracion_segundos,mayor_5_min,promedio_tiempo_reproducido,tiene_tags,categoria,impresiones,tasa_de_clicks,vistas,popularidad
200,FALSE,47,TRUE,Trivia Facts Quiz,268415,1.89,6961,TRUE
320,TRUE,132,FALSE,Entertainment Quiz,66361,3.95,3246,TRUE
263,FALSE,44,TRUE,Trivia Facts Quiz,32280,5.95,2252,TRUE
264,FALSE,105,TRUE,Entertainment Quiz,32272,3.74,1516,TRUE
461,TRUE,144,TRUE,Would You Rather,16064,2.42,639,FALSE
52,FALSE,23,TRUE,Would You Rather,550,3.27,597,FALSE
40,FALSE,20,TRUE,Would You Rather,289,5.19,560,TRUE
323,TRUE,76,TRUE,Holidays,11458,4.38,559,TRUE
42,FALSE,20,FALSE,Animals Quiz,235,1.7,501,FALSE
57,FALSE,17,TRUE,Would You Rather,611,4.26,472,FALSE
52,FALSE,23,TRUE,Would You Rather,487,4.31,469,TRUE
41,FALSE,20,TRUE,Sports Quiz,471,3.18,460,TRUE
40,FALSE,16,TRUE,Sports Quiz,457,2.84,446,TRUE
48,FALSE,16,FALSE,Sports Quiz,537,2.23,423,FALSE
407,TRUE,109,TRUE,Would You Rather,10523,3.05,394,FALSE
399,TRUE,79,TRUE,Would You Rather,5373,2.61,278,FALSE
36,FALSE,19,FALSE,Entertainment Quiz,447,3.8,270,FALSE
443,TRUE,136,TRUE,Would You Rather,11094,1.66,251,FALSE
302,TRUE,101,TRUE,Nature Quiz,4541,3.19,235,FALSE
265,FALSE,105,TRUE,Nature Quiz,2707,3.99,212,FALSE
260,FALSE,89,TRUE,Trivia Facts Quiz,6190,1.62,163,FALSE
305,TRUE,60,TRUE,Animals Quiz,4549,2.4,161,FALSE
207,FALSE,58,TRUE,Trivia Facts Quiz,2043,3.96,153,FALSE
219,FALSE,57,TRUE,Animals Quiz,777,5.79,145,FALSE
198,FALSE,52,TRUE,Trivia Facts Quiz,1733,4.39,134,FALSE
206,FALSE,27,TRUE,Trivia Facts Quiz,1708,4.8,114,FALSE
216,FALSE,40,TRUE,Trivia Facts Quiz,986,6.29,101,FALSE
195,FALSE,55,TRUE,Trivia Facts Quiz,2422,2.39,100,FALSE
442,TRUE,104,TRUE,Entertainment Quiz,3450,1.74,88,FALSE
51,FALSE,16,TRUE,Would You Rather,540,2.41,83,FALSE
245,FALSE,72,TRUE,Holidays,1184,4.14,72,FALSE
36,FALSE,19,TRUE,Sports Quiz,673,2.53,63,FALSE
29,FALSE,20,TRUE,Trivia Facts Quiz,366,6.01,54,FALSE
54,FALSE,20,FALSE,Trivia Facts Quiz,441,2.04,43,FALSE
24,FALSE,18,FALSE,Trivia Facts Quiz,473,1.27,38,FALSE
